user_id,user_name,mob,email,resume_link,dob,isAdmin,gender,pwd
admin,admin,9445147911,arjun.prs@gmail.com,https://docs.google.com/document/d/16FaBtLR1Ena4AdPUfJ0PO9U_-UHshnKhB-GK2Dn8cQo/edit?usp=sharing,8111999,1,M,admin
CB.EN.U4CSE17401,Arjun R,9445147912,arjun.prs@gmail.com,https://docs.google.com/document/d/16FaBtLR1Ena4AdPUfJ0PO9U_-UHshnKhB-GK2Dn8cQo/edit?usp=sharing,8112000,0,M,admin
CB.EN.U4CSE17402,Arjun R,9445147913,arjun.prs@gmail.com,https://docs.google.com/document/d/16FaBtLR1Ena4AdPUfJ0PO9U_-UHshnKhB-GK2Dn8cQo/edit?usp=sharing,8112000,0,M,admin
CB.EN.U4CSE17403,Arjun R,9445147914,arjun.prs@gmail.com,https://docs.google.com/document/d/16FaBtLR1Ena4AdPUfJ0PO9U_-UHshnKhB-GK2Dn8cQo/edit?usp=sharing,8112000,0,M,admin
CB.EN.U4CSE17404,Arjun R,9445147915,arjun.prs@gmail.com,https://docs.google.com/document/d/16FaBtLR1Ena4AdPUfJ0PO9U_-UHshnKhB-GK2Dn8cQo/edit?usp=sharing,8112000,0,M,admin
CB.EN.U4CSE17405,Arjun R,9445147916,arjun.prs@gmail.com,https://docs.google.com/document/d/16FaBtLR1Ena4AdPUfJ0PO9U_-UHshnKhB-GK2Dn8cQo/edit?usp=sharing,8112000,0,M,admin
CB.EN.U4CSE17406,Arjun R,9445147917,arjun.prs@gmail.com,https://docs.google.com/document/d/16FaBtLR1Ena4AdPUfJ0PO9U_-UHshnKhB-GK2Dn8cQo/edit?usp=sharing,8112000,0,M,admin
CB.EN.U4CSE17407,Arjun R,9445147918,arjun.prs@gmail.com,https://docs.google.com/document/d/16FaBtLR1Ena4AdPUfJ0PO9U_-UHshnKhB-GK2Dn8cQo/edit?usp=sharing,8112000,0,M,admin
CB.EN.U4CSE17408,Arjun R,9445147919,arjun.prs@gmail.com,https://docs.google.com/document/d/16FaBtLR1Ena4AdPUfJ0PO9U_-UHshnKhB-GK2Dn8cQo/edit?usp=sharing,8112000,0,M,admin
CB.EN.U4CSE17409,Arjun R,9445147920,arjun.prs@gmail.com,https://docs.google.com/document/d/16FaBtLR1Ena4AdPUfJ0PO9U_-UHshnKhB-GK2Dn8cQo/edit?usp=sharing,8112000,0,M,admin
CB.EN.U4CSE17410,Arjun R,9445147921,arjun.prs@gmail.com,https://docs.google.com/document/d/16FaBtLR1Ena4AdPUfJ0PO9U_-UHshnKhB-GK2Dn8cQo/edit?usp=sharing,8112000,0,M,admin
CB.EN.U4CSE17411,Arjun R,9445147922,arjun.prs@gmail.com,https://docs.google.com/document/d/16FaBtLR1Ena4AdPUfJ0PO9U_-UHshnKhB-GK2Dn8cQo/edit?usp=sharing,8112000,0,M,admin
CB.EN.U4CSE17412,Arjun R,9445147923,arjun.prs@gmail.com,https://docs.google.com/document/d/16FaBtLR1Ena4AdPUfJ0PO9U_-UHshnKhB-GK2Dn8cQo/edit?usp=sharing,8112000,0,M,admin
CB.EN.U4CSE17413,Arjun R,9445147924,arjun.prs@gmail.com,https://docs.google.com/document/d/16FaBtLR1Ena4AdPUfJ0PO9U_-UHshnKhB-GK2Dn8cQo/edit?usp=sharing,8112000,0,M,admin
CB.EN.U4CSE17414,Arjun R,9445147925,arjun.prs@gmail.com,https://docs.google.com/document/d/16FaBtLR1Ena4AdPUfJ0PO9U_-UHshnKhB-GK2Dn8cQo/edit?usp=sharing,8112000,0,M,admin
